WigleWifi-1.4,appRelease=2.42,model=SM-A530F,release=9,device=jackpotlte,display=PPR1.180610.011.A530FXXU4CSCD,board=universal7885,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
c0:a0:bb:cd:43:f9,Fibonacci,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,1,-60,31.965524456463754,34.82290732674301,99,26,WIFI
c0:a0:bb:cd:43:fa,Fibonacci_5,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,58,-62,31.965524456463754,34.82290732674301,99,26,WIFI
c0:ac:54:f7:2a:65,Uri1,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,1,-64,31.965524456463754,34.82290732674301,99,26,WIFI
a0:8e:78:7d:b5:f1,HOTFiber-5356,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,6,-73,31.965524456463754,34.82290732674301,99,26,WIFI
84:a1:d1:0f:8d:72,HOTBOX-1988,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,11,-74,31.965524456463754,34.82290732674301,99,26,WIFI
88:41:fc:dd:f2:50,arielg,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,6,-74,31.965524456463754,34.82290732674301,99,26,WIFI
10:13:31:c8:e1:73,MACHNIK,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,11,-75,31.965524456463754,34.82290732674301,99,26,WIFI
f4:6b:ef:e0:db:33,HOTFiber-5356,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,6,-78,31.965524456463754,34.82290732674301,99,26,WIFI
14:ae:db:cf:3d:0d,ALEX-NET,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2019-05-20 14:49:51,6,-79,31.965524456463754,34.82290732674301,99,26,WIFI
18:a6:f7:8d:9e:c0,leshik_2.4G,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,13,-79,31.965524456463754,34.82290732674301,99,26,WIFI
88:41:fc:dd:f2:51,arielg,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,56,-79,31.965524456463754,34.82290732674301,99,26,WIFI
12:13:31:c9:54:51,Simcha_5,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,36,-80,31.965524456463754,34.82290732674301,99,26,WIFI
40:b0:34:aa:2b:89,DIRECT-88-HP DeskJet 3830 series,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,1,-81,31.965524456463754,34.82290732674301,99,26,WIFI
34:db:9c:15:39:3b,Avi.Maayan,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,1,-81,31.965524456463754,34.82290732674301,99,26,WIFI
00:8c:54:90:79:71,Ayana,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,1,-84,31.965524456463754,34.82290732674301,99,26,WIFI
28:80:23:cf:aa:84,HP-Print-84-Officejet Pro 6830,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,11,-84,31.965524456463754,34.82290732674301,99,26,WIFI
10:13:31:c9:05:9f,assulina,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,5,-85,31.965524456463754,34.82290732674301,99,26,WIFI
e0:ce:c3:19:e8:e3,HOTBOX-E8DD,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:49:51,1,-85,31.965524456463754,34.82290732674301,99,26,WIFI
14:ae:db:a0:10:f5,RaskiN1234,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS][WPS],2019-05-20 14:49:51,11,-85,31.965524456463754,34.82290732674301,99,26,WIFI
90:8d:78:51:e4:5b,Enter2,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,9,-86,31.965524456463754,34.82290732674301,99,26,WIFI
48:ee:0c:3d:47:30,Israel-2.4,[WPA2-PSK-CCMP][ESS],2019-05-20 14:49:51,4,-86,31.965524456463754,34.82290732674301,99,26,WIFI
88:41:fc:dd:f2:68,arielg,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,11,-87,31.965524456463754,34.82290732674301,99,26,WIFI
12:13:31:c8:e1:7b,MACHNIK-5GHZ,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,60,-87,31.965524456463754,34.82290732674301,99,26,WIFI
12:13:31:c9:05:a7,assulina,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:49:51,48,-90,31.965524456463754,34.82290732674301,99,26,WIFI
42501_5221_8445441,Partner Communications Company Ltd.,LTE;il,2019-05-20 14:49:51,1600,-95,31.965524456463754,34.82290732674301,99,26,GSM
10:13:31:c9:54:49,Simcha,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:50:03,6,-72,31.965492186136544,34.8229715321213,81,15.5,WIFI
00:e0:20:1c:12:6d,WiFi-Repeater,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:50:03,11,-75,31.965492186136544,34.8229715321213,81,15.5,WIFI
a4:91:b1:a7:d5:61,KERMITI 2.4,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:50:03,1,-78,31.965492186136544,34.8229715321213,81,15.5,WIFI
a4:91:b1:79:5d:f2,Mikasegev_2.4,[WPA2-PSK-CCMP][ESS][WPS],2019-05-20 14:50:03,11,-78,31.965492186136544,34.8229715321213,81,15.5,WIFI
0c:80:63:1d:f1:d6,oz-deco,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][WPS],2019-05-20 14:50:03,8,-81,31.965492186136544,34.8229715321213,81,15.5,WIFI
f8:ab:05:3f:71:9c,HOTFiber-25D3,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:50:03,10,-84,31.965492186136544,34.8229715321213,81,15.5,WIFI
3c:1e:04:04:2a:00,moshe18_5,[WPA2-PSK-CCMP][ESS],2019-05-20 14:50:03,58,-86,31.965492186136544,34.8229715321213,81,15.5,WIFI
c0:ac:54:f6:db:ba,HOTBOX-976C,[WPA2-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2019-05-20 14:50:03,13,-90,31.965492186136544,34.8229715321213,81,15.5,WIFI
78:32:1b:d7:64:41,liam2_5,[WPA2-PSK-CCMP][ESS],2019-05-20 14:50:03,44,-90,31.965492186136544,34.8229715321213,81,15.5,WIFI
